title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
人民币兑美元中间价较上日调降131点,2024-12-03 09:15:53,格隆汇12月3日｜人民币兑美元中间价较上日调降131点至7.1996，中间价贬值至2023年9月11日以来最低。,CNH,,2024-12-03 01:15:53,20241204
离岸人民币兑美元跌破7.30关口,2024-12-03 09:31:03,格隆汇12月3日｜离岸人民币兑美元跌破7.30关口，日内跌超200点，为7月4日以来新低。,CNH,,2024-12-03 01:31:03,20241204
离岸人民币兑美元跌破7.31,2024-12-03 09:52:00,格隆汇12月3日｜离岸人民币兑美元跌破7.31关口，现报7.3120，日内跌近300点。,CNH,,2024-12-03 01:52:00,20241204
离岸人民币兑美元跌破7.31，创逾1年新低,2024-12-03 09:53:26,格隆汇12月3日｜人民币持续走贬，离岸人民币兑美元跌破7.31至7.31395，为2023年11月以来新低。,CNH,,2024-12-03 01:53:26,20241204
离岸人民币跌穿7.31，在岸跌穿7.29，齐创1年新低,2024-12-03 10:27:06,"格隆汇12月3日｜美国候任总统特朗普的关税威胁和法国政局动荡，推动美元走强，加上中国宽松预期加剧人民币下行压力，离岸人民币(CNH)今早跌穿7.31至7.31395，与在岸人民币(CNY)齐创去年11月以来的新低。在岸人民币早盘跌穿7.29至7.2957。
官方今日开出的中间价报7.1996，较上日的7.1865下调131点子，创近15个月新低。",CNH,,2024-12-03 02:27:06,20241204
CNH HIBOR主要期限利率全线回落,2024-12-03 11:38:13,格隆汇12月3日｜隔夜回落23个基点至0.98091%，创8月29日以来新低；一周期回落37个基点至1.76545%，触及10月18日以来低位；两周期跌37个基点至2.35485%，至11月8日以来低点；一年期小跌至2.85242%，创11月22日以来新低。,CNH,,2024-12-03 03:38:13,20241204
创13个月新低！人民币接连跌破重要关口,2024-12-03 12:11:12,格隆汇12月3日｜据21财经，离岸人民币对美元接连跌破7.30和7.31关口，日内跌近300点，创下去年11月初以来的新低。对此，中国社会科学院亚太与全球战略研究院副研究员肖宇指出，美元走强是当前影响人民币汇率最重要的因素。11月以来，美元指数呈现月线大幅上升的趋势。11月14日，美元指数升破106关口，11月22日，美元指数触及近三个月以来最高值，达到107.6893。12月2日，美元指数最高触达106.45440。,CNH,,2024-12-03 04:11:12,20241204
离岸人民币兑美元收复7.30关口,2024-12-03 14:43:20,格隆汇12月3日｜离岸人民币兑美元收复7.30关口，较日低反弹近200点，现报7.2955。,CNH,,2024-12-03 06:43:20,20241204
,2024-12-03 16:33:51,格隆汇12月3日｜在岸人民币兑美元12月3日16:30收盘报7.2791，较上一交易日下跌85点。,CNH,,2024-12-03 08:33:51,20241204
,2024-12-04 06:21:42,格隆汇12月4日｜在岸人民币兑美元（CNY）北京时间03:00收报7.2870元，较周一夜盘收盘跌130点。成交量416.74亿美元。,CNH,,2024-12-03 22:21:42,20241204
离岸人民币较周一纽约尾盘跌134点,2024-12-04 06:33:54,格隆汇12月4日｜离岸人民币（CNH）兑美元北京时间05:59报7.2998元，较周一纽约尾盘跌134点，日内整体交投于7.2834-7.3148元区间。,CNH,,2024-12-03 22:33:54,20241204
音频 | 格隆汇12.4盘前要点—港A美股你需要关注的大事都在这,2024-12-04 07:10:54,"格隆汇12月4日｜国际要闻：
1、纳指、标普500指数续创新高，中概指数涨1.16%，英特尔跌逾6%；
2、国际贵金属期货普遍收涨，WTI原油收涨2.7%；
3、欧盟出生率降至新低：27国一年新生儿仅有366.5万人；
4、摩根大通：明年黄金价格将上涨至3000美元/盎司；
5、波罗的海干散货运价指数连续第五日下滑，因较大型船舶运费下降；
6、国内政治纷争加剧 韩国总统宣布戒严；
7、韩国戒严司令部发布一号戒严令：所有的言论和出版都受戒严司令部控制；
8、韩国相关资产暴跌，韩元跌至两年低点；
9、韩国解除紧急戒严令；
10、韩国：股市周三将照常开盘；
11、欧洲央行“鹰派”管委Holzmann：下周降息将是温和的；
12、韩国随时准备部署10万亿韩元的股市稳定基金；
13、廖凯原：不再all in特斯拉股票；
大中华区要闻：
1、中国半导体行业协会：美国芯片产品不再安全、不再可靠 中国相关行业将不得不谨慎采购美国芯片；
2、中国汽车工业协会：为保障汽车产业链、供应链安全稳定 建议中国汽车企业谨慎采购美国芯片；
3、中国互联网协会：呼吁国内企业主动采取应对措施，审慎选择采购美国芯片；
4、中国通信企业协会：为保障信息通信行业的产业链、供应链安全稳定，应谨慎采购美国芯片；
5、商务部：原则上不予许可镓、锗、锑、超硬材料相关两用物项对美国出口；
6、离岸人民币较周一纽约尾盘跌134点；
7、前11月基金分红超1750亿元；
8、今日A股英思特上市；
9、南下资金加仓阿里、减仓美团和腾讯；
10、公告精选︱乐歌股份：拟投资约7亿元建造海外仓；凌云股份：传感器业务处于内部自行研发阶段，无客户，无订单，无相关业务收入；
11、公告精选(港股)︱广汽集团(02238.HK)拟13.31亿元转让巨湾技研18.82%股权；
12、A股投资避雷针︱北方华创：被美国商务部列入实体清单；隆达股份：股东国联产投、云上联信拟合计减持不超2%股份。",CNH,,2024-12-03 23:10:54,20241204
