publishedDate,title,image,site,text,url,symbol,similarity_score,sentiment_score,sentiment_class,confidence,relevance,impact_length,importance,uniqueness
2025-01-01 08:31:56,"US Dollar Forecast: Will Unemployment Claims Boost Momentum? Gold, GBP/USD and EUR/USD Outlook",https://images.financialmodelingprep.com/news/us-dollar-forecast-will-unemployment-claims-boost-momentum-gold-20250101.jpg,fxempire.com,ISM PMI and jobless claims take center stage as investors assess US economic resilience. Gold and Forex pairs remain highly reactive.,https://www.fxempire.com/forecasts/article/us-dollar-forecast-will-unemployment-claims-boost-momentum-gold-gbp-usd-and-eur-usd-outlook-1487188,EURUSD,0.0,0.0,0.0,0.5,0.5,day,0.5,
2025-01-02 01:34:16,EUR/USD remains subdued around 1.0350 as ECB maintains a dovish outlook for this year,https://images.financialmodelingprep.com/news/eurusd-remains-subdued-around-10350-as-ecb-maintains-a-20250101.jpg,fxstreet.com,"EUR/USD continues to lose ground for the fourth successive day, trading around 1.0350 during the Asian hours on Thursday. The Euro faces challenges as the European Central Bank (ECB) maintains dovish guidance on interest rates policy for this year.",https://www.fxstreet.com/news/eur-usd-remains-subdued-around-10350-as-ecb-maintains-a-dovish-outlook-for-this-year-202501020134,EURUSD,0.0,-0.7,-1.0,0.8,1.0,month,0.7,
2025-01-02 08:15:49,EUR/USD is under pressure as US Dollar clings to gains near two-year high,https://images.financialmodelingprep.com/news/eurusd-is-under-pressure-as-us-dollar-clings-to-20250102.jpg,fxstreet.com,"EUR/USD trades vulnerable and holds near a more-than-a-month low at around 1.0350 on the first trading day of the year. The major currency pair skates on thin ice as the US Dollar (USD) clings to a more than two-year high, with the Dollar Index (DXY) trading around 108.50 on optimism that the Federal Reserve (Fed) will reduce interest rates less than previously anticipated this year.",https://www.fxstreet.com/news/eur-usd-is-under-pressure-as-us-dollar-clings-to-gains-near-two-year-high-202501020815,EURUSD,0.0,-0.8,-1.0,0.9,1.0,month,0.8,
2025-01-02 08:48:14,"US Dollar Forecast: Will FOMC Commentary Shift Dollar Momentum? – Gold, GBP/USD and EUR/USD Outlook",https://images.financialmodelingprep.com/news/us-dollar-forecast-will-fomc-commentary-shift-dollar-momentum-20250102.jpg,fxempire.com,"The US Dollar consolidates near 108.43 as PMI data steadies. Gold trades at $2,633, supported by safe-haven demand and weaker dollar trends.",https://www.fxempire.com/forecasts/article/us-dollar-forecast-will-fomc-commentary-shift-dollar-momentum-gold-gbp-usd-and-eur-usd-outlook-1487476,EURUSD,0.2,0.1,1.0,0.6,0.5,week,0.4,
2025-01-02 13:52:49,EUR/USD – 02.01.2024,https://images.financialmodelingprep.com/news/eurusd-02012024-20250102.jpg,orbex.com,"As we advised last week, Euro managed to hold trades below resistance 1.0450 where managed to met target 1.0335 and managed today to break below this support As we see over the chart market will face resistances around 1.0330 and 1.0450 where as long as market keep holding trades below one of those resistances more […]",https://www.orbex.com/blog/en/2025/01/eur-usd-02-01-2024,EURUSD,0.0,-0.3,-1.0,0.6,1.0,week,0.5,
2025-01-02 13:56:11,"EUR/USD, USD/JPY and AUD/USD Forecast – US Dollar a Bit Mixed in Early Trading",https://images.financialmodelingprep.com/news/eurusd-usdjpy-and-audusd-forecast-us-dollar-a-bit-20250102.jpg,fxempire.com,"The US dollar is a little bit mixed in early trading on Thursday as traders come back from the New Year's celebration. At this point, the US dollar is still the strongest currency around the world right now, but it looks like we will be drifting for a moment here.",https://www.fxempire.com/forecasts/article/eur-usd-usd-jpy-and-aud-usd-forecast-us-dollar-a-bit-mixed-in-early-trading-1487570,EURUSD,0.2,0.0,0.0,0.5,0.5,day,0.3,
2025-01-02 16:02:00,EUR/USD Opens 2025 with Fresh Two-Year-Low: 1.0200 Next Big Level Down,https://images.financialmodelingprep.com/news/eurusd-opens-2025-with-fresh-twoyearlow-10200-next-big-20250102.jpg,forex.com,"EUR/USD bears are getting a fast start to 2025 trade, setting a fresh two-year-low for the currency pair. While December produced a higher-low above the November swing for the pair, and 2024 saw EUR/USD close at a trendline projection from that higher-low, sellers have made a push over the past three days and prices are now probing below the 1.0300 level for the first time since November of 2022, when the pair was recovering from its first ever parity test that year.",https://www.forex.com/en-us/news-and-analysis/eurusd-opens-2025-with-fresh-two-year-low-102-next-big-level-down/,EURUSD,0.7,-0.8,-1.0,0.9,1.0,month,0.8,2.0
2025-01-02 16:59:09,EUR/USD slumps to two-year low as growth concerns weigh,https://images.financialmodelingprep.com/news/eurusd-slumps-to-twoyear-low-as-growth-concerns-weigh-20250102.jpg,fxstreet.com,"EUR/USD dumped another full percentage point on Thursday, kicking off 2025 with its lowest prices in two years. The Euro fell below 1.0250 against the Greenback since November of 2022 and putting Fiber on pace to close for a fourth straight month in the red if things don't improve in January.",https://www.fxstreet.com/news/eur-usd-slumps-to-two-year-low-as-growth-concerns-weigh-202501021659,EURUSD,0.7,-0.8,-1.0,0.9,1.0,month,0.8,
2025-01-02 20:06:23,"U.S. Dollar Hits Two-Year High: Analysis For EUR/USD, GBP/USD, USD/CAD, USD/JPY",https://images.financialmodelingprep.com/news/us-dollar-hits-twoyear-high-analysis-for-eurusd-gbpusd-20250102.jpg,fxempire.com,"U.S. dollar surges to 2-year high as Trump's return fuels optimism. Strong economic data limits Fed rate cuts, boosting DXY against euro and pound.",https://www.fxempire.com/forecasts/article/u-s-dollar-hits-two-year-high-analysis-for-eur-usd-gbp-usd-usd-cad-usd-jpy-1487652,EURUSD,0.7,-0.8,-1.0,0.9,1.0,month,0.8,3.0
2025-01-03 00:12:28,EUR/USD kicks off 2025 with a fresh move to the downside,https://images.financialmodelingprep.com/news/eurusd-kicks-off-2025-with-a-fresh-move-to-20250102.jpg,fxstreet.com,"EUR/USD took another leg lower to kick off the 2025 trading season, falling eight-tenths of one percent and tapping the 1.0250 level for the first time since November of 2022, a nearly 26-month low. European Manufacturing Purchasing Managers Index (PMI) data missed the mark on Thursday, only adding to Euro traders' woes following a dovish appearance from European Central Bank (ECB) policymaker Yannis Stournaras later in the day.",https://www.fxstreet.com/news/eur-usd-kicks-off-2025-with-a-fresh-move-to-the-downside-202501030012,EURUSD,0.2,-0.8,-1.0,0.9,1.0,week,0.7,
2025-01-03 06:54:25,EUR/USD Price Analysis: Finds support near 1.0250 within oversold territory,https://images.financialmodelingprep.com/news/eurusd-price-analysis-finds-support-near-10250-within-oversold-20250103.jpg,fxstreet.com,"The EUR/USD pair pauses its four-day losing streak, trading near 1.0270 during the Asian session on Friday. A review of the daily chart suggests a persistent bearish bias, with the pair moving downward within a descending channel pattern.",https://www.fxstreet.com/news/eur-usd-price-analysis-finds-support-near-10250-within-oversold-territory-202501030654,EURUSD,0.3,-0.2,-1.0,0.6,0.8,week,0.4,2.0
2025-01-03 08:28:38,"US Dollar Forecast: DXY Gains After U.S. Jobs Data; Gold, GBP/USD, and EUR/USD Outlook",https://images.financialmodelingprep.com/news/us-dollar-forecast-dxy-gains-after-us-jobs-data-20250103.jpg,fxempire.com,US Dollar strengthens after upbeat U.S. jobs data as unemployment claims fall to 211K. Gold and EUR/USD face mixed market trends.,https://www.fxempire.com/forecasts/article/us-dollar-forecast-dxy-gains-after-u-s-jobs-data-gold-gbp-usd-and-eur-usd-outlook-1487735,EURUSD,0.0,-0.3,-1.0,0.7,0.8,week,0.6,
2025-01-03 08:42:22,EUR/USD Started 2025 at Its Lowest Point in 25 Months,https://images.financialmodelingprep.com/news/eurusd-started-2025-at-its-lowest-point-in-25-20250103.jpg,actionforex.com,"According to the EUR/USD chart, on 2nd January, the first trading day of the year, the EUR/USD pair fell below the psychological level of 1.025, the lowest mark since November 2022.",https://www.actionforex.com/contributors/technical-analysis/581149-eur-usd-started-2025-at-its-lowest-point-in-25-months/,EURUSD,0.8,-0.7,-1.0,0.9,1.0,month,0.8,2.0
2025-01-03 10:38:38,EUR/USD can finally reach parity – Societe Generale,https://images.financialmodelingprep.com/news/eurusd-can-finally-reach-parity-societe-generale-20250103.jpg,fxstreet.com,"EUR/USD has resumed its phase of decline after breaching below lower limit of recent range (1.0330), Societe Generale's FX analyst note.",https://www.fxstreet.com/news/eur-usd-can-finally-reach-parity-societe-generale-202501031038,EURUSD,0.8,-0.7,-1.0,0.8,1.0,month,0.7,1.0
2025-01-03 11:14:36,EUR/USD is at parity risk amid Fed-ECB policy divergence,https://images.financialmodelingprep.com/news/eurusd-is-at-parity-risk-amid-fedecb-policy-divergence-20250103.jpg,fxstreet.com,"EUR/USD finds temporary support in Friday's European session after diving to near 1.0220 on Thursday, the lowest level seen in over two years. Market experts see the major currency pair falling further to parity on Federal Reserve (Fed) – European Central Bank's (ECB) divergent views on the monetary policy outlook.",https://www.fxstreet.com/news/eur-usd-aims-for-parity-amid-fed-ecb-policy-divergence-202501030957,EURUSD,0.0,-0.7,-1.0,0.8,1.0,month,0.8,
