publishedDate,title,image,site,text,url,symbol,similarity_score,sentiment_score,sentiment_class,confidence,relevance,impact_length,importance,uniqueness,,,,,,,,,,,,,,,,,,
2/2/2025 3:00,EUR/USD Pulls Back Ahead of December High,https://images.financialmodelingprep.com/news/eurusd-pulls-back-ahead-of-december-high-20250201.jpg,forex.com,EUR/USD starts to carve a series of lower highs and lows as it slips to a fresh weekly low (1.0360).,https://www.forex.com/en-us/news-and-analysis/eurusd-pulls-back-ahead-of-december-high-02-02-2025/,EURUSD,0.7,-0.6,-1,0.8,1,week,0.7,,,,,,,,,,,,,,,,,,,
2/3/2025 0:33,"EUR/USD slumps to 1.0200 neighborhood, multi-week low on Trump's trade tariffs",https://images.financialmodelingprep.com/news/eurusd-slumps-to-10200-neighborhood-multiweek-low-on-trumps-20250202.jpg,fxstreet.com,"The EUR/USD pair attracts heavy follow-through selling on Monday and dives to the 1.0200 neighborhood, or a three-week low during the early Asian session. Spot prices have now moved back closer to over a two-year low touched in January and seem vulnerable to prolonging a multi-month-old downtrend.",https://www.fxstreet.com/news/eur-usd-slumps-to-10200-neighborhood-multi-week-low-on-trumps-trade-tariffs-202502030033,EURUSD,0.9,-0.8,-1,0.95,1,month,0.9,2,,,,,,,,,,,,,,,,,,
2/3/2025 4:19,"Greenback Surges, Dragging EUR/USD Lower at Market Open",https://images.financialmodelingprep.com/news/greenback-surges-dragging-eurusd-lower-at-market-open-20250202.jpg,actionforex.com,The Euro started another decline from the 1.0530 zone against the US Dollar. EUR/USD traded below the 1.0450 and 1.0420 support levels to enter a bearish zone.,https://www.actionforex.com/contributors/technical-analysis/584799-greenback-surges-dragging-eur-usd-lower-at-market-open/,EURUSD,0.8,-0.7,-1,0.9,1,week,0.8,2,,,,,,,,,,,,,,,,,,
2/3/2025 8:12,US Dollar Forecast: Will DXY Break 110? Tariffs and PMI Data Set the Tone – GBP/USD and EUR/USD Outlook,https://images.financialmodelingprep.com/news/us-dollar-forecast-will-dxy-break-110-tariffs-and-20250203.jpg,fxempire.com,The US Dollar (DXY) eyes the 110 mark amid strong PMI data and new tariffs. Discover key trends for GBP/USD and EUR/USD.,https://www.fxempire.com/forecasts/article/us-dollar-forecast-will-dxy-break-110-tariffs-and-pmi-data-set-the-tone-gbp-usd-and-eur-usd-outlook-1494726,EURUSD,0.8,-0.6,-1,0.8,0.9,month,0.7,2,,,,,,,,,,,,,,,,,,
2/3/2025 8:35,"EURUSD, Gold Forecast: Markets Spiral on Trade War Risks",https://images.financialmodelingprep.com/news/eurusd-gold-forecast-markets-spiral-on-trade-war-risks-20250203.jpg,forex.com,"EURUSD, Gold Forecast: As Trump tariff risks involving Canada, Mexico, China, and the EU return to the headlines, the US Dollar Index (DXY) surged on inflation momentum, while global markets plunged. However, safe-haven assets may remain resilient.",https://www.forex.com/en-us/news-and-analysis/eurusd-gold-forecast-markets-spiral-on-trade-war-risks/,EURUSD,0.9,-0.7,-1,0.8,1,month,0.8,2,,,,,,,,,,,,,,,,,,
2/3/2025 9:35,EUR/USD: Risk is for further Euro weakness – UOB Group,https://images.financialmodelingprep.com/news/eurusd-risk-is-for-further-euro-weakness-uob-group-20250203.jpg,fxstreet.com,"Oversold decline has not stabilized; support levels are at 1.0175 and 1.0100. In the longer run, risk is for further Euro (EUR) weakness; it remains to be seen if it can break and remain below 1.0100, UOB Group's FX analysts Quek Ser Leang and Peter Chia note.",https://www.fxstreet.com/news/eur-usd-risk-is-for-further-euro-weakness-uob-group-202502030935,EURUSD,0.3,-0.7,-1,0.8,1,month,0.7,,,,,,,,,,,,,,,,,,,
2/3/2025 10:13,EUR/USD slumps by over 1% as US President Trump reiterates tariff threats on Eurozone,https://images.financialmodelingprep.com/news/eurusd-slumps-by-over-1-as-us-president-trump-20250203.jpg,fxstreet.com,EUR/USD nosedives over 1% to near 1.0240 at the start of the week. The major currency pair plummets as United States (US) President Donald Trump reiterates threats to impose tariffs on the European Union (EU).,https://www.fxstreet.com/news/eur-usd-slumps-by-over-1-as-us-president-trump-reiterates-tariff-threats-on-eurozone-202502031013,EURUSD,0.9,-0.8,-1,0.95,1,week,0.85,2,,,,,,,,,,,,,,,,,,
2/3/2025 14:01,"EUR/USD, USD/JPY and AUD/USD Forecast – US Dollar Surges After Tariff Announcement",https://images.financialmodelingprep.com/news/eurusd-usdjpy-and-audusd-forecast-us-dollar-surges-after-20250203.jpg,fxempire.com,"The US dollar has been very strong in the early hours of Monday, as Donald Trump has announced tariffs against Mexico and Canada.",https://www.fxempire.com/forecasts/article/eur-usd-usd-jpy-and-aud-usd-forecast-us-dollar-surges-after-tariff-announcement-1495032,EURUSD,0.8,-0.7,-1,0.8,0.9,week,0.7,2,,,,,,,,,,,,,,,,,,
2/3/2025 16:06,"EUR/USD Price Analysis: Pair trims losses after sharp drop, remains below 20-day SMA",https://images.financialmodelingprep.com/news/eurusd-price-analysis-pair-trims-losses-after-sharp-drop-20250203.jpg,fxstreet.com,"The EUR/USD pair continued its downward trajectory on Monday, slipping to a low around 1.0200 before staging a brief rebound to 1.0300. However, the failed attempt to extend gains highlights the prevailing selling pressure, keeping the pair below its 20-day Simple Moving Average (SMA) and maintaining a bearish outlook.",https://www.fxstreet.com/news/eur-usd-price-analysis-pair-trims-losses-after-sharp-drop-remains-below-20-day-sma-202502031606,EURUSD,0.6,-0.7,-1,0.8,1,week,0.7,2,,,,,,,,,,,,,,,,,,
2/3/2025 16:13,Euro Technical Analysis: EUR/USD Spill as Threat of Trump Tariffs Hits Euro,https://images.financialmodelingprep.com/news/euro-technical-analysis-eurusd-spill-as-threat-of-trump-tariffs-20250203.jpg,forex.com,"Trump tariffs are zeroing in on Europe although there's still a large amount of uncertainty. The pair responded to the threat with a strong sell-off at the open, that it's now trying to claw back.",https://www.forex.com/en-us/news-and-analysis/euro-ta-eurusd-spill-as-threat-of-trump-tariffs-hits-euro/,EURUSD,0.9,-0.7,-1,0.8,1,week,0.7,2,,,,,,,,,,,,,,,,,,
