title,updateTimestamp,content,relatedStocks,relatedInfos,date,trade_date
,2024-12-19 10:53:33,格隆汇12月19日｜日本央行利率决议公布后，日元兑美元自11月以来首次跌至155日元。,JPY,,2024-12-19 02:53:33,20241220
,2024-12-19 11:00:58,格隆汇12月19日｜美元兑日元USD/JPY短线涨幅一度扩大至70点，现报155.11。,JPY,,2024-12-19 03:00:58,20241220
美元兑日元涨0.5%,2024-12-19 11:21:46,格隆汇12月19日｜美元兑日元USD/JPY日内涨幅扩大至0.5%，现报155.43。消息面上，日本央行将政策利率维持在0.25%不变，符合预期，为连续第三次暂停加息。,JPY,,2024-12-19 03:21:46,20241220
,2024-12-19 11:28:53,格隆汇12月19日｜欧元兑日元上涨0.64%，报161.28；英镑兑日元上涨0.5%，报195.56。,JPY,,2024-12-19 03:28:53,20241220
日本央行选择按兵不动，美/日升穿155 ,2024-12-19 12:31:35,格隆汇12月19日｜在日本央行在政策会议上维持利率不变后，日元兑美元跌破了关键水平155。按兵不动的决定在很大程度上已被会议前的隔夜指数掉期反映出来，市场上大多数经济学家也预测到了这一点。有外汇策略师指出，如果日本央行决定在明年3月或更晚之前维持利率不变，日元将面临进一步脆弱的风险。日元观察人士关注的一个关键问题是，日本央行行长植田和男是否会在周四晚些时候的新闻发布会上暗示下次加息。如果日元继续贬值，日本央行可能面临更大的加息压力。,JPY,,2024-12-19 04:31:35,20241220
美元兑日元突破156,2024-12-19 14:55:19,格隆汇12月19日｜美元兑日元USD/JPY突破156，为11月15日以来首次，日内涨0.87%。,JPY,,2024-12-19 06:55:19,20241220
美元兑日元涨超1%,2024-12-19 15:06:27,格隆汇12月19日｜美元兑日元涨超1%，现报156.3。,JPY,,2024-12-19 07:06:27,20241220
,2024-12-19 15:35:35,格隆汇12月19日｜日元兑美元跌至7月以来最低水平。,JPY,,2024-12-19 07:35:35,20241220
,2024-12-19 16:41:44,格隆汇12月19日｜美元兑日元USD/JPY站上157，为7月以来首次，日内涨1.52%。,JPY,,2024-12-19 08:41:44,20241220
,2024-12-19 17:46:29,格隆汇12月19日｜欧元兑日元上涨2.04%至163.57。,JPY,,2024-12-19 09:46:29,20241220
美元兑日元大涨2%,2024-12-20 00:07:09,格隆汇12月20日｜美元兑日元USD/JPY日内大涨2.00%，现报157.75。,JPY,,2024-12-19 16:07:09,20241220
野村：日元暴跌可能触发日本当局口头干预汇市,2024-12-20 00:34:28,格隆汇12月20日｜野村表示，日元跌至五个月低点提高了日本官员公开暗示支持日元的可能性。“鉴于今天的价格走势，我们认为美元/日元现在处于日本财务省可能开始对外汇市场进行口头干预的水平，此前财务省已经沉寂了一段时间，”野村Yujiro Goto和Yusuke Miyairi等策略师周四在一份报告中写道。,JPY,,2024-12-19 16:34:28,20241220
野村：日元暴跌可能触发日本当局口头干预汇市,2024-12-20 06:32:58,格隆汇12月20日｜野村表示，日元跌至五个月低点提高了日本官员公开暗示支持日元的可能性。“鉴于今天的价格走势，我们认为美元/日元现在处于日本财务省可能开始对外汇市场进行口头干预的水平，此前财务省已经沉寂了一段时间，”野村Yujiro Goto和Yusuke Miyairi等策略师周四在一份报告中写道。日元在日本央行和美联储公布利率决定后扩大跌势，一度下跌1.7%至1美元兑157.53日元，创7月以来最弱水平。野村现在预计日本央行将在2025年3月将基准利率上调25个基点，然后在2025年10月和2026年3月分别进一步加息，将基准利率提高至1%。随着美国候任总统特朗普于1月就职，日本于7月举行参议院选举，官员们将花更多时间来“确认基本面”。野村指出，交易员正在关注日本央行行长植田和男12月25日的年度讲话，以及日本央行于12月27日发布的12月会议意见摘要。,JPY,,2024-12-19 22:32:58,20241220
美元指数继续创逾两年新高，日元跌向158,2024-12-20 06:34:14,"格隆汇12月20日｜周四（12月19日）纽约尾盘，ICE美元指数上涨0.35%，报108.401点，日内交投区间为107.821-108.485点，逼近2022年11月10日顶部110.992点和当年9月28日顶部114.778点。美元兑日元涨1.69%，报157.41日元。欧元兑美元涨0.10%、报1.0364，英镑兑美元跌0.55%、报1.2505，美元兑瑞郎跌0.31%、报0.8985。彭博美元指数涨0.21%，报1303.75点，北京时间02:05涨至1305.26点，也逼近2022年11月10日顶部1323.90点。
欧元兑日元涨1.80%，报163.15日元；英镑兑日元涨1.11%，报196.838日元。商品货币对中澳元兑美元涨0.32%，纽元兑美元涨0.12%，美元兑加元跌0.35%。瑞典克朗兑美元跌0.83%，挪威克朗兑美元涨0.40%。",JPY,,2024-12-19 22:34:14,20241220
音频 | 格隆汇12.20盘前要点—港A美股你需要关注的大事都在这,2024-12-20 07:03:50,"格隆汇12月20日｜国际要闻：
1、道指小幅收涨终结10连跌，美光科技跌超16%；
2、WTI原油期货收跌超0.9%，COMEX黄金期货跌1.63%；
3、美元指数继续创逾两年新高，日元跌向158
4、苹果据报正与腾讯、字节跳动商讨 将其AI功能整合到中国销售iphone之中；
5、韩国拟未来三年投入超55万亿韩元，以减少对关键矿产的进口依赖；
6、英国央行维持关键利率于4.75%不变 符合市场预期；
7、墨西哥央行降息25个基点；
8、美国总统拜登起草计划允许人工智能数据中心建设；
9、拜登政府批准美国加州2035年起全面禁售燃油车；
10、中国、日本10月减持美债合计超300亿美元；
11、移民激增，推动美国人口创2001年来最快增长；
大中华区要闻：
1、商务部：加快出台推进首发经济的政策文件；
2、监管要求规范首席经济学家、证券分析师、基金经理等的公开发声；
3、今年有近40家券商退出香港市场；
4、私募基金年终排名战打响：15只产品收益翻倍，最高276.53%！但斌暂居百亿私募冠军；
5、《金融产品网络营销管理办法》或发布 涉及贷款、理财、支付等领域；
6、国家能源局：2024年11月份全社会用电量同比增长2.8%；
7、华为车BU今年营收增长约4倍 出货量实现约7倍增长；
8、余承东：每卖一辆智界R7亏一两万；
9、多个城市房贷利率上调，为2021年10月以来首次！
10、字节跳动：市场出现炒作“豆包概念股”现象 投资者勿轻信市场传言；
11、小尺寸供不应求 硅片再度涨价；
12、光伏行业协会“四连问”质疑央企项目低价中标结果；
13、严禁利用融券变相T+0交易 券商再行动 市场融券已极度缩量；
14、湖北将首次发放电影消费券；
15、晶澳科技：拟投资39.57亿元建设太阳能电池和组件产能；
16、今日A股蓝宇股份、博科测试及港股小菜园上市；
17、南下资金净买入港股146亿港元，加仓腾讯、移动、微盟、晶泰；
18、公告精选︱申通快递：拟斥资1.4亿元-2.5亿元回购股份；鑫科材料：高速铜连接和高速铜缆项目尚无任何收入；
19、公告精选(港股)︱复宏汉霖(02696.HK)就E-602及联合疗法与PALLEON订立合作及许可协议；
20、A股投资避雷针︱博硕科技：股东鸿德轩投资拟减持不超过3%股份；*ST九有：涉嫌信息披露违法违规被证监会立案。",JPY,,2024-12-19 23:03:50,20241220
,2024-12-20 08:12:21,格隆汇12月20日｜美元兑日元USD/JPY升至157.90的五个月高位。,JPY,,2024-12-20 00:12:21,20241220
